family,product_id,name,article,vendor_article,manufacturer_code,brand,model,series,product_name,product_type,product_variant,dn_text,pn_text,joining_type,thread_type,connection_size,body_material,seal_material,control,handle_type,working_medium,engineering_system,country,description_text,category_id,brand_id,unit_id,url,properties_json
actuator,1285660,Клапан стальной запорно-регулирующий 25с47нж DN 100 PN 4 с электроприводом 220В REGADA ST 2-06KBX/BE 160Kvs до 220гр. КПСР,930113540,930113540,,,,210,,,,100,4,фланцевое,,,сталь,,,,,,Беларусь,,4,236,1,https://proconsim.ru/product/930113540/,"{""Ду"": ""100"", ""Ру"": ""4"", ""Присоединение"": ""фланцевое"", ""Артикул"": ""930113540"", ""Серия"": ""210"", ""Страна происхождения"": ""Беларусь"", ""Материал корпуса"": ""сталь"", ""Способ управления"": ""электропривод"", ""Таблица фигур"": ""25с47нж"", ""Диапазон измерения температуры,˚С"": ""не более +220"", ""Климатическое исполнение"": ""УХЛ 3;УХЛ 4 по ГОСТ 15150-69"", ""Рабочая среда в рамках ПДК/ПДУ"": ""водяной и насыщенный пар,другие жидкости,газообразные среды,нейтральные к материалам деталей,соприкасающихся со средой"", ""Kv"": ""160"", ""Электропривод"": ""REGADA ST 2 491.0-06KBX/BE (0-100Ом)"", ""Вес нетто,кг"": ""55.9"", ""Вес брутто,кг"": ""55.9"", ""Объем м3"": ""0.0924""}"
actuator,1287190,Клапан стальной запорно-регулирующий 25с947п DN 50 PN 4 с электроприводом 220В REGADA STmini-0NFBC 16Kvs до 150гр. КПСР,930117341,930117341,,,,220,,,,50,4,фланцевое,,,сталь,,,,,,Беларусь,,4,236,1,https://proconsim.ru/product/930117341/,"{""Ду"": ""50"", ""Ру"": ""4"", ""Присоединение"": ""фланцевое"", ""Артикул"": ""930117341"", ""Серия"": ""220"", ""Страна происхождения"": ""Беларусь"", ""Материал корпуса"": ""сталь"", ""Способ управления"": ""электропривод"", ""Таблица фигур"": ""25с947п"", ""Диапазон измерения температуры,˚С"": ""не более +150"", ""Климатическое исполнение"": ""Категория 3 и 4 исполнение У и УХЛ по ГОСТ 15150-69"", ""Класс герметичности"": ""\""А\""класс по ГОСТ 9544-2015"", ""Kv"": ""16"", ""Электропривод"": ""REGADA ST mini 472.0-0NFBC/00 (1-100Ом)"", ""Вес нетто,кг"": ""12.1"", ""Вес брутто,кг"": ""12.1"", ""Объем м3"": ""0.021""}"
actuator,1289314,"Кран с электроприводом Neptun Bugatti Pro 18В 1/2, Neptun 100037093200",в8539,100037093200,100037093200,,,Bugatti Pro,,,,1/2,40,Резьба/Резьба,ВР,,Латунь никелированная,,on/off,,Вода,,Россия,,4,185,1,https://lunda.ru/catalog/category/c1251/product/kran-bugatti-pro-neptun_126481/item/v8539.html,"{""Код производителя"": ""100037093200"", ""Ду, дюйм"": ""1/2"", ""Ду, мм"": ""15"", ""Крутящий момент, Нм"": ""24"", ""Серия бренда"": ""Bugatti Pro"", ""Применение"": ""Водоснабжение, отопление"", ""Тип крана"": ""Полнопроходной"", ""Резьба"": ""ВР"", ""Особенности"": ""Прямой"", ""Рабочее давление, бар"": ""40"", ""Температура рабочей среды, °C"": ""0...+120"", ""Рабочая среда"": ""Вода"", ""Тип привода"": ""Электропривод"", ""Материал корпуса"": ""Латунь никелированная"", ""Страна бренда"": ""Россия"", ""Страна-производитель"": ""Россия"", ""Условное давление, бар"": ""40"", ""Присоединение"": ""Резьба/Резьба"", ""Напряжение питания, В"": ""18"", ""Степень защиты"": ""IP64"", ""Тип арматуры"": ""Шаровой кран"", ""Управление"": ""on/off"", ""Сплав"": ""CW617N"", ""Совместимость"": ""NEPTUN SMART+18"", ""categories"": [""Шаровые краны"", ""Латунные шаровые краны""]}"
actuator,1289325,"Кран с электроприводом Neptun Bugatti Pro 18В 3/4, Neptun 100037093300",в8538,100037093300,100037093300,,,Bugatti Pro,,,,3/4,40,Резьба/Резьба,ВР,,Латунь никелированная,,on/off,,Вода,,Россия,,4,185,1,https://lunda.ru/catalog/category/c1251/product/kran-bugatti-pro-neptun_126481/item/v8538.html,"{""Код производителя"": ""100037093300"", ""Ду, дюйм"": ""3/4"", ""Ду, мм"": ""20"", ""Крутящий момент, Нм"": ""24"", ""Серия бренда"": ""Bugatti Pro"", ""Применение"": ""Водоснабжение, отопление"", ""Тип крана"": ""Полнопроходной"", ""Резьба"": ""ВР"", ""Особенности"": ""Прямой"", ""Рабочее давление, бар"": ""40"", ""Температура рабочей среды, °C"": ""0...+120"", ""Рабочая среда"": ""Вода"", ""Тип привода"": ""Электропривод"", ""Материал корпуса"": ""Латунь никелированная"", ""Страна бренда"": ""Россия"", ""Страна-производитель"": ""Россия"", ""Условное давление, бар"": ""40"", ""Присоединение"": ""Резьба/Резьба"", ""Напряжение питания, В"": ""18"", ""Степень защиты"": ""IP64"", ""Тип арматуры"": ""Шаровой кран"", ""Управление"": ""on/off"", ""Сплав"": ""CW617N"", ""Совместимость"": ""NEPTUN SMART+18"", ""categories"": [""Шаровые краны"", ""Латунные шаровые краны""]}"
actuator,1289331,"Кран с электроприводом Neptun Bugatti Pro 18В, 1"", Neptun 100037093400",в8537,100037093400,100037093400,,,Bugatti Pro,,,,1,40,Резьба/Резьба,ВР,,Латунь никелированная,,on/off,,Вода,,Россия,,4,185,1,https://lunda.ru/catalog/category/c1251/product/kran-bugatti-pro-neptun_126481/item/v8537.html,"{""Код производителя"": ""100037093400"", ""Ду, дюйм"": ""1"", ""Ду, мм"": ""25"", ""Крутящий момент, Нм"": ""24"", ""Серия бренда"": ""Bugatti Pro"", ""Применение"": ""Водоснабжение, отопление"", ""Тип крана"": ""Полнопроходной"", ""Резьба"": ""ВР"", ""Особенности"": ""Прямой"", ""Рабочее давление, бар"": ""40"", ""Температура рабочей среды, °C"": ""0...+120"", ""Рабочая среда"": ""Вода"", ""Тип привода"": ""Электропривод"", ""Материал корпуса"": ""Латунь никелированная"", ""Страна бренда"": ""Россия"", ""Страна-производитель"": ""Россия"", ""Условное давление, бар"": ""40"", ""Присоединение"": ""Резьба/Резьба"", ""Напряжение питания, В"": ""18"", ""Степень защиты"": ""IP64"", ""Тип арматуры"": ""Шаровой кран"", ""Управление"": ""on/off"", ""Сплав"": ""CW617N"", ""Совместимость"": ""NEPTUN SMART+18"", ""categories"": [""Шаровые краны"", ""Латунные шаровые краны""]}"
actuator,1289590,Клапан стальной запорно-регулирующий 25с47нж DN 100 PN 4 с электроприводом 220В REGADA ST 1-06KSX/BE 63Kvs до 220гр. КПСР,930113490,930113490,,,,210,,,,100,4,фланцевое,,,сталь,,,,,,Беларусь,,4,236,1,https://proconsim.ru/product/930113490/,"{""Ду"": ""100"", ""Ру"": ""4"", ""Присоединение"": ""фланцевое"", ""Артикул"": ""930113490"", ""Серия"": ""210"", ""Страна происхождения"": ""Беларусь"", ""Материал корпуса"": ""сталь"", ""Способ управления"": ""электропривод"", ""Таблица фигур"": ""25с47нж"", ""Диапазон измерения температуры,˚С"": ""не более +220"", ""Климатическое исполнение"": ""УХЛ 3;УХЛ 4 по ГОСТ 15150-69"", ""Рабочая среда в рамках ПДК/ПДУ"": ""водяной и насыщенный пар,другие жидкости,газообразные среды,нейтральные к материалам деталей,соприкасающихся со средой"", ""Kv"": ""63"", ""Электропривод"": ""REGADA ST 1 491.0-06KSX/BE (4-20 мА)"", ""Вес нетто,кг"": ""45.9"", ""Вес брутто,кг"": ""45.9"", ""Объем м3"": ""0.0924""}"
actuator,1290265,Клапан стальной запорно-регулирующий 25с947п DN 150 PN 4 с электроприводом 220В REGADA ST 2-06KSX 360Kvs до 150гр. КПСР,930117753,930117753,,,,220,,,,150,4,фланцевое,,,сталь,,,,,,Беларусь,,4,236,1,https://proconsim.ru/product/930117753/,"{""Ду"": ""150"", ""Ру"": ""4"", ""Присоединение"": ""фланцевое"", ""Артикул"": ""930117753"", ""Серия"": ""220"", ""Страна происхождения"": ""Беларусь"", ""Материал корпуса"": ""сталь"", ""Способ управления"": ""электропривод"", ""Таблица фигур"": ""25с947п"", ""Диапазон измерения температуры,˚С"": ""не более +150"", ""Климатическое исполнение"": ""Категория 3 и 4 исполнение У и УХЛ по ГОСТ 15150-69"", ""Класс герметичности"": ""\""А\""класс по ГОСТ 9544-2015"", ""Kv"": ""360"", ""Электропривод"": ""REGADA ST 2 491.0-06KSX/BE (4-20мА)"", ""Вес нетто,кг"": ""87"", ""Вес брутто,кг"": ""87"", ""Объем м3"": ""0.3328""}"
actuator,1290589,"Электропривод S-70-24-У1, 220В ""А"", Benarmo 038-0927",г5371,038-0927,038-0927,,S-70-24-У1 220В &quot;А&quot;,S,,,,,,,,,,,Открыто/закрыто,,,,Китай,,4,26,1,https://lunda.ru/catalog/category/c13086/product/elektroprivod-benarmo_110651/item/g5371.html,"{""Модель"": ""S-70-24-У1 220В &quot;А&quot;"", ""Крутящий момент, Нм"": ""70"", ""Напряжение питания, В"": ""220"", ""Мощность, кВт"": ""0,25"", ""Код производителя"": ""038-0927"", ""Серия бренда"": ""S"", ""Рабочая температура, °C"": ""-20...+60"", ""Управление"": ""Открыто/закрыто"", ""Страна-производитель"": ""Китай"", ""Класс защиты"": ""IP67"", ""Гарантия, лет"": ""1"", ""categories"": [""Электроприводы для запорной арматуры""]}"
actuator,1290592,"Электропривод S-100-24-У1, 220В ""А"", Benarmo 038-0928",г5372,038-0928,038-0928,,S-100-24-У1 220В &quot;А&quot;,S,,,,,,,,,,,Открыто/закрыто,,,,Китай,,4,26,1,https://lunda.ru/catalog/category/c13086/product/elektroprivod-benarmo_110651/item/g5372.html,"{""Модель"": ""S-100-24-У1 220В &quot;А&quot;"", ""Крутящий момент, Нм"": ""100"", ""Напряжение питания, В"": ""220"", ""Мощность, кВт"": ""0,25"", ""Код производителя"": ""038-0928"", ""Серия бренда"": ""S"", ""Рабочая температура, °C"": ""-20...+60"", ""Управление"": ""Открыто/закрыто"", ""Страна-производитель"": ""Китай"", ""Класс защиты"": ""IP67"", ""Гарантия, лет"": ""1"", ""categories"": [""Электроприводы для запорной арматуры""]}"
actuator,1290600,"Электропривод S-200-24-У1, 220В ""Б"", Benarmo 038-0929",г5373,038-0929,038-0929,,S-200-24-У1 220В &quot;Б&quot;,S,,,,,,,,,,,Открыто/закрыто,,,,Китай,,4,26,1,https://lunda.ru/catalog/category/c13086/product/elektroprivod-benarmo_110651/item/g5373.html,"{""Модель"": ""S-200-24-У1 220В &quot;Б&quot;"", ""Крутящий момент, Нм"": ""200"", ""Напряжение питания, В"": ""220"", ""Мощность, кВт"": ""0,37"", ""Код производителя"": ""038-0929"", ""Серия бренда"": ""S"", ""Рабочая температура, °C"": ""-20...+60"", ""Управление"": ""Открыто/закрыто"", ""Страна-производитель"": ""Китай"", ""Класс защиты"": ""IP67"", ""Гарантия, лет"": ""1"", ""categories"": [""Электроприводы для запорной арматуры""]}"
